AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
100M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (100 m);;;;;;;;;;;;;17;15,4;14,1;16,3;14,8;13,5;16;14,6;13,2;15,8;14,4;13;16,3;14,8;13,3;16,8;15,1;13,6;17,6;15,9;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25M_SWIMMING;Sek;sec;SPEED;Schnelligkeit;25 m Schwimmen;46;38;30;41;33;26;36;29;22,5;33;27;21;31;25,5;20;29,5;24,5;19;28;23;17,5;27;22;15,5;29;23;16,5;31,5;24;17;35;26,5;18,5;38,5;29,5;19;42;32,5;20,5;45;35;23;49;37;25;51;39;27;52,5;40,5;28,5;55;43;31;57,5;45,5;33,5;59;48;36;59,5;49;38;60;50;40
200M_CYCLING;Sek;sec;SPEED;Schnelligkeit;200 m Radfahren;;;;38;33;28;35;30,5;26;29,5;26;22,5;24;21,5;19;22;19,5;17;20,5;18;15,5;20;17,5;15;21;18;15;22,5;18,5;15;24;20;15,5;26,5;21,5;16,5;28,5;23;17;30;24;18;32;25;18,5;33,5;26;19;35;27;19,5;36;28,5;20;37,5;29,5;21,5;39;31,5;23;41;33;24,5;43,5;35,5;27
ARTISTIC_GYMNASTICS_SPEED;;;SPEED;Schnelligkeit;Gerätturnen;Sprung;Sprung;Sprung;Boden;Boden;Boden;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Boden;Boden;Boden;Boden;Boden;Boden;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung
HIGH_JUMP;m;m;COORDINATION;Koordination;Hochsprung;;;;;;;0,85;0,95;1,05;0,95;1,05;1,15;1,1;1,2;1,3;1,2;1,3;1,4;1,3;1,4;1,5;1,35;1,45;1,55;1,3;1,4;1,5;1,3;1,4;1,5;1,25;1,35;1,45;1,2;1,3;1,4;1,15;1,25;1,35;1,05;1,15;1,25;1;1,1;1,2;0,95;1,05;1,15;0,85;1;1,1;0,8;0,95;1,05;0,75;0,9;1;0,75;0,85;0,95;0,7;0,8;0,9;0,65;0,75;0,85
ZONE_LONG_JUMP;Punkte;;COORDINATION;Koordination;Zonenweitsprung;18;21;24;27;30;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LONG_JUMP;m;m;COORDINATION;Koordination;Weitsprung;;;;;;;2,6;2,9;3,2;3,2;3,5;3,8;3,8;4,1;4,4;4,3;4,6;4,9;4,5;4,8;5,1;4,4;4,7;5;4,3;4,6;4,9;4,2;4,5;4,8;4,1;4,4;4,7;3,9;4,3;4,6;3,7;4,1;4,5;3,6;4;4,4;3,4;3,8;4,2;3,2;3,6;4;2,9;3,3;3,7;2,7;3,1;3,5;2,4;2,9;3,3;2,1;2,6;3,1;1,9;2,4;2,9;1,6;2,1;2,6
TWISTING_THROW;Punkte;;COORDINATION;Koordination;Drehwurf;15;18;24;21;27;33;33;39;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLINGSHOT_BALL;m;m;COORDINATION;Koordination;Schleuderball (1 kg);;;;;;;;;;19,5;24;27,5;23,5;28;32;27,5;32;36,5;31,5;36;40,5;33;38;42;32,5;37,5;41,5;30;35;40;28,5;33,5;38,5;28;33;38;27;32;37,5;25,5;31;36,5;23,5;29;35;22,5;28;34;20;25,5;30,5;18,5;24;29;16;21;26;14;19;24;12;16,5;21;10,5;15;19,5
SKIP_ROPE_TECHNIC;;;COORDINATION;Koordination;Seilspringen (Technik);Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung
SKIP_ROPE_AMOUNT;;;COORDINATION;Koordination;Seilspringen;10;15;25;10;15;25;20;30;40;10;20;30;10;15;20;10;15;20;5;10;15;5;10;15;5;10;15;10;15;20;10;15;20;40;60;80;40;60;80;10;20;30;10;20;30;10;20;30;10;20;30;8;14;18;8;14;18;6;10;12;6;10;12;4;6;8
ARTISTIC_GYMNASTICS_COORDINATION;;;COORDINATION;Koordination;Gerätturnen;Schwebebalken;Schwebebalken;Schwebebalken;Reck;Reck;Reck;Ringe;Ringe;Ringe;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Ringe;Ringe;Ringe;Ringe;Ringe;Ringe;Reck;Reck;Reck;Reck;Reck;Reck;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken
